id,original_title,predicted_genres
462,Erin Brockovich,['mystery']
473,Pi,['sci-fi']
475,Bonnie and Clyde,['western']
480,Monsoon Wedding,['romance']
489,Good Will Hunting,['mystery']
492,Being John Malkovich,['sci-fi']
496,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,['documentary']
497,The Green Mile,['thriller']
500,Reservoir Dogs,"['crime', 'mystery', 'thriller']"
508,Love Actually,"['family', 'romance']"
509,Notting Hill,['family']
510,One Flew Over the Cuckoo's Nest,['crime']
524,Casino,['crime']
525,The Blues Brothers,['western']
533,Wallace & Gromit: The Curse of the Were-Rabbit,['kids']
534,Terminator Salvation,['sci-fi']
539,Psycho,['mystery']
544,There's Something About Mary,['mystery']
550,Fight Club,['family']
557,Spider-Man,['action']
558,Spider-Man 2,['thriller']
559,Spider-Man 3,['action']
561,Constantine,['mystery']
562,Die Hard,['action']
563,Starship Troopers,['war']
564,The Mummy,['adventure']
565,The Ring,['thriller']
567,Rear Window,['crime']
568,Apollo 13,['documentary']
578,Jaws,['adventure']
581,Dances with Wolves,['western']
583,Life of Brian,['comedy']
585,"Monsters, Inc.",['horror']
587,Big Fish,['biography']
588,Silent Hill,['horror']
591,The Da Vinci Code,['mystery']
594,The Terminal,['mystery']
595,To Kill a Mockingbird,['western']
597,Titanic,['biography']
600,Full Metal Jacket,['war']
601,E.T. the Extra-Terrestrial,['sci-fi']
602,Independence Day,['war']
603,The Matrix,['sci-fi']
604,The Matrix Reloaded,['thriller']
605,The Matrix Revolutions,['action']
607,Men in Black,['crime']
608,Men in Black II,['sci-fi']
615,The Passion of the Christ,['drama']
616,The Last Samurai,['war']
617,Wild Things,['crime']
619,The Bodyguard,['action']
620,Ghostbusters,['horror']
621,Grease,['romance']
627,Trainspotting,['romance']
628,Interview with the Vampire,['thriller']
629,The Usual Suspects,"['mystery', 'thriller', 'crime']"
630,The Wizard of Oz,['western']
634,Bridget Jones's Diary,['family']
640,Catch Me If You Can,['crime']
641,Requiem for a Dream,['drama']
644,A.I. Artificial Intelligence,['kids']
646,Dr. No,['action']
650,Boyz n the Hood,['war']
651,M*A*S*H,['comedy']
652,Troy,['war']
655,"Paris, Texas",['drama']
657,From Russia with Love,['crime']
658,Goldfinger,['crime']
660,Thunderball,['crime']
663,Saw IV,['action']
664,Twister,['western']
665,Ben-Hur,['documentary']
667,You Only Live Twice,['action']
671,Harry Potter and the Philosopher's Stone,['fantasy']
672,Harry Potter and the Chamber of Secrets,['thriller']
673,Harry Potter and the Prisoner of Azkaban,['thriller']
674,Harry Potter and the Goblet of Fire,['fantasy']
675,Harry Potter and the Order of the Phoenix,['thriller']
676,Pearl Harbor,['war']
679,Aliens,['sci-fi']
680,Pulp Fiction,['crime']
686,Contact,['sci-fi']
688,The Bridges of Madison County,['mystery']
693,Meet the Fockers,['mystery']
694,The Shining,['adventure']
705,All About Eve,['thriller']
707,A View to a Kill,['action']
708,The Living Daylights,['action']
709,Licence to Kill,['crime']
710,GoldenEye,['action']
712,Four Weddings and a Funeral,['romance']
714,Tomorrow Never Dies,['action']
744,Top Gun,['action']
745,The Sixth Sense,['mystery']
747,Shaun of the Dead,['horror']
752,V for Vendetta,['war']
754,Face/Off,['crime']
755,From Dusk Till Dawn,['horror']
756,Fantasia,['animation']
762,Monty Python and the Holy Grail,['western']
764,The Evil Dead,['adventure']
767,Harry Potter and the Half-Blood Prince,['thriller']
769,GoodFellas,['biography']
770,Gone with the Wind,['family']
772,Home Alone 2: Lost in New York,['mystery']
782,Gattaca,['sci-fi']
783,Gandhi,['war']
786,Almost Famous,['biography']
787,Mr. & Mrs. Smith,['crime']
788,Mrs. Doubtfire,['family']
790,The Fog,['horror']
792,Platoon,['war']
796,Cruel Intentions,['family']
807,Se7en,"['thriller', 'mystery', 'crime']"
808,Shrek,['animation']
809,Shrek 2,['fantasy']
810,Shrek the Third,['fantasy']
812,Aladdin,['fantasy']
813,Airplane!,['action']
816,Austin Powers: International Man of Mystery,['action']
817,Austin Powers: The Spy Who Shagged Me,['sci-fi']
818,Austin Powers in Goldmember,['action']
819,Sleepers,['crime']
820,JFK,['crime']
824,Moulin Rouge!,['musical']
829,Chinatown,['crime']
840,Close Encounters of the Third Kind,['adventure']
841,Dune,['sci-fi']
847,Willow,['biography']
853,Enemy at the Gates,['war']
854,The Mask,['mystery']
855,Black Hawk Down,['action']
856,Who Framed Roger Rabbit,['crime']
857,Saving Private Ryan,['war']
858,Sleepless in Seattle,['family']
